Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
EBLD85,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,113.00",,,
EBLD86,23.60%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,995.00,,,
EDBL,68.58%,"5.91
                                
                                    (FY:080-081, Q:4)",88.05,157.46,3.30,,,"10:3
                                
                                    (FY:078-079)"
EHPL,92.93%,"0.73
                                
                                    (FY:080-081, Q:3)",821.92,74.28,8.08,,,
ENL,60.75%,"3.65
                                
                                    (FY:080-081, Q:3)",354.52,107.24,12.07,,,
FMDBL,43.40%,"14.13
                                
                                    (FY:080-081, Q:4)",64.54,134.76,6.77,,,
FOWAD,28.07%,"14.72
                                
                                    (FY:080-081, Q:3)",103.19,269.34,5.64,,,
GBBD85,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,000.00",,,
GBBL,18.45%,"20.00
                                
                                    (FY:080-081, Q:4)",22.50,157.49,2.86,,,
GBILD86/87,28.89%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,995.00,,,
GBIME,14.14%,"16.65
                                
                                    (FY:080-081, Q:4)",14.20,168.81,1.40,,,
GBLBS,64.79%,"28.68
                                
                                    (FY:080-081, Q:3)",30.68,226.39,3.89,,,"1:0.5
                                
                                    (FY:075-076)"
GCIL,0.00%,"-18.76
                                
                                    (FY:080-081, Q:3)",-32.67,220.55,2.78,,"15.00
                                
                                    (FY:079-080)",
GFCL,84.18%,"15.69
                                
                                    (FY:080-081, Q:4)",53.28,187.72,4.45,,,"10:6
                                
                                    (FY:073-074)"
GHL,10.77%,"-1.77
                                
                                    (FY:080-081, Q:3)",-122.03,98.61,2.19,,,
GIBF1,17.53%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.99,"5.00
                                
                                    (FY:079-080)",,
